order_line_number,quantity, price , sale_total ,order_date,quarter,product_code,customer_name,deal_size
10134-5,27,100,3307.77,2003-07-01,3,S10_2016,Lyon Souveniers,Medium
10145-9,37,100,5192.95,2003-08-25,3,S10_2016,Toys4GrownUps.com,Medium
10159-17,37,100,5016.83,2003-10-10,4,S10_2016,Corporate Gift Ideas Co.,Medium
10168-4,27,100,3660.93,2003-10-28,4,S10_2016,Technics Stores Inc.,Medium
10180-12,42,100,4695.6,2003-11-11,4,S10_2016,Daedalus Designs Imports,Medium
10188-4,38,96.34,3660.92,2003-11-18,4,S10_2016,Herkku Gifts,Medium
10201-5,24,100,3025.92,2003-12-01,4,S10_2016,Mini Wheels Co.,Medium
10210-2,23,100,3009.09,2004-01-12,1,S10_2016,Osaka Souveniers Co.,Medium
10223-4,47,100,5422.39,2004-02-20,1,S10_2016,"Australian Collectors, Co.",Medium
10236-1,22,100,2852.08,2004-04-03,2,S10_2016,Motor Mint Distributors Inc.,Small
10251-5,44,100,5756.52,2004-05-18,2,S10_2016,Tekni Collectables Inc.,Medium
10263-5,40,100,4472,2004-06-28,2,S10_2016,Gift Depot Inc.,Medium
10275-4,22,100,2904.44,2004-07-23,3,S10_2016,La Rochelle Gifts,Small
10285-9,47,100,6484.59,2004-08-27,3,S10_2016,Marta's Replicas Co.,Medium
10298-1,39,96.34,3757.26,2004-09-27,3,S10_2016,Atelier graphique,Medium
10308-2,34,100,4043.96,2004-10-15,4,S10_2016,Mini Classics,Medium
10318-4,45,100,5566.5,2004-11-02,4,S10_2016,Diecast Classics Inc.,Medium
10329-2,20,100,3176,2004-11-15,4,S10_2016,Land of Toys Inc.,Medium
10339-4,40,68.92,2756.8,2004-11-23,4,S10_2016,"Tokyo Collectables, Ltd",Small
10361-8,26,51.15,1329.9,2004-12-17,4,S10_2016,Souveniers And Things Co.,Small
10374-5,39,100,5288.01,2005-02-02,1,S10_2016,"Australian Gift Network, Co",Medium
10388-5,50,44.51,2225.5,2005-03-03,1,S10_2016,FunGiftIdeas.com,Small
10402-1,45,100,5833.8,2005-04-07,2,S10_2016,Auto Canal Petit,Medium
10417-5,45,100,5887.35,2005-05-13,2,S10_2016,Euro Shopping Channel,Medium
10107-4,27,100,6065.55,2003-02-24,1,S10_4698,Land of Toys Inc.,Medium
10120-2,46,100,9264.86,2003-04-29,2,S10_4698,"Australian Collectors, Co.",Large
10134-4,31,100,7023.98,2003-07-01,3,S10_4698,Lyon Souveniers,Large
10145-8,33,100,5176.38,2003-08-25,3,S10_4698,Toys4GrownUps.com,Medium
10159-16,22,100,4132.7,2003-10-10,4,S10_4698,Corporate Gift Ideas Co.,Medium
10168-3,20,100,4183,2003-10-28,4,S10_4698,Technics Stores Inc.,Medium
10180-11,41,100,8892.9,2003-11-11,4,S10_4698,Daedalus Designs Imports,Large
10188-3,45,100,8714.7,2003-11-18,4,S10_4698,Herkku Gifts,Large
10201-4,49,100,8065.89,2003-12-01,4,S10_4698,Mini Wheels Co.,Large
10210-1,34,100,6123.4,2004-01-12,1,S10_4698,Osaka Souveniers Co.,Medium
10223-3,49,100,9774.03,2004-02-20,1,S10_4698,"Australian Collectors, Co.",Large
10237-9,39,100,7023.9,2004-04-05,2,S10_4698,Vitachrome Inc.,Large
10251-4,43,100,7078.23,2004-05-18,2,S10_4698,Tekni Collectables Inc.,Large
10263-4,41,100,8336.94,2004-06-28,2,S10_4698,Gift Depot Inc.,Large
10275-3,36,100,6901.92,2004-07-23,3,S10_4698,La Rochelle Gifts,Medium
10285-8,27,100,5438.07,2004-08-27,3,S10_4698,Marta's Replicas Co.,Medium
10299-11,29,100,6683.34,2004-09-30,3,S10_4698,"Toys of Finland, Co.",Medium
10308-1,20,100,4570.4,2004-10-15,4,S10_4698,Mini Classics,Medium
10318-3,37,100,7667.14,2004-11-02,4,S10_4698,Diecast Classics Inc.,Large
10329-3,26,100,5868.2,2004-11-15,4,S10_4698,Land of Toys Inc.,Medium
10339-3,39,76.67,2990.13,2004-11-23,4,S10_4698,"Tokyo Collectables, Ltd",Small
10362-4,22,100,3664.1,2005-01-05,1,S10_4698,Technics Stores Inc.,Medium
10374-1,22,100,3834.38,2005-02-02,1,S10_4698,"Australian Gift Network, Co",Medium
10388-7,21,86.77,1822.17,2005-03-03,1,S10_4698,FunGiftIdeas.com,Small
10403-9,66,100,11886.6,2005-04-08,2,S10_4698,"UK Collectables, Ltd.",Large
10417-4,56,100,9218.16,2005-05-13,2,S10_4698,Euro Shopping Channel,Large
10105-2,50,100,7208,2003-02-11,1,S10_4757,Danish Wholesale Imports,Large
10119-11,46,100,5004.8,2003-04-28,2,S10_4757,Salzburg Collectables,Medium
10129-2,33,100,4398.24,2003-06-12,2,S10_4757,"Stylish Desk Decors, Co.",Medium
10143-15,49,100,5597.76,2003-08-10,3,S10_4757,Mini Creations Ltd.,Medium
10155-13,32,100,4526.08,2003-10-06,4,S10_4757,"Toys of Finland, Co.",Medium
10167-9,44,100,5924.16,2003-10-23,4,S10_4757,Scandinavian Gift Ideas,Medium
10178-12,24,100,3492.48,2003-11-08,4,S10_4757,Alpha Cognac,Medium
10186-9,26,100,3854.24,2003-11-14,4,S10_4757,"Double Decker Gift Stores, Ltd",Medium
10197-6,45,100,5324.4,2003-11-26,4,S10_4757,Enaco Distributors,Medium
10209-8,39,100,5197.92,2004-01-09,1,S10_4757,"Men 'R' US Retailers, Ltd.",Medium
10222-12,49,100,5997.6,2004-02-19,1,S10_4757,Collectable Mini Designs Co.,Medium
10248-3,20,100,2910.4,2004-05-07,2,S10_4757,Land of Toys Inc.,Small
10261-1,27,100,3378.24,2004-06-17,2,S10_4757,Quebec Home Shopping Network,Medium
10273-4,30,100,3508.8,2004-07-21,3,S10_4757,Petit Auto,Medium
10283-6,25,100,2992,2004-08-20,3,S10_4757,"Royal Canadian Collectables, Ltd.",Small
10295-1,24,100,3427.2,2004-09-10,3,S10_4757,Gifts4AllAges.com,Medium
10307-9,22,100,2692.8,2004-10-14,4,S10_4757,"Classic Gift Ideas, Inc",Small
10316-17,33,100,4128.96,2004-11-01,4,S10_4757,giftsbymail.co.uk,Medium
10325-6,47,64.93,3051.71,2004-11-05,4,S10_4757,Baane Mini Imports,Medium
10337-8,25,48.05,1201.25,2004-11-21,4,S10_4757,Classic Legends Inc.,Small
10350-5,26,75.47,1962.22,2004-12-02,4,S10_4757,Euro Shopping Channel,Small
10359-6,48,54.68,2624.64,2004-12-15,4,S10_4757,Reims Collectables,Small
10373-3,39,100,4046.25,2005-01-31,1,S10_4757,"Oulu Toy Supplies, Inc.",Medium
10384-4,34,100,4846.7,2005-02-23,1,S10_4757,Corporate Gift Ideas Co.,Medium
10395-2,32,100,3370.56,2005-03-17,1,S10_4757,Lyon Souveniers,Medium
10400-9,64,100,9661.44,2005-04-01,2,S10_4757,The Sharp Gifts Warehouse,Large
10414-3,19,100,2764.88,2005-05-06,2,S10_4757,Gifts4AllAges.com,Small
10103-4,42,100,5398.26,2003-01-29,1,S10_4962,Baane Mini Imports,Medium
10114-8,31,100,4305.28,2003-04-01,2,S10_4962,"La Corne D'abondance, Co.",Medium
10126-4,22,100,3347.74,2003-05-28,2,S10_4962,"Corrida Auto Replicas, Ltd",Medium
10140-4,26,100,3188.12,2003-07-24,3,S10_4962,Technics Stores Inc.,Medium
10150-1,20,100,3191.2,2003-09-19,3,S10_4962,"Dragon Souveniers, Ltd.",Medium
10164-2,21,100,3536.82,2003-10-21,4,S10_4962,Mini Auto Werke,Medium
10175-9,33,100,5362.83,2003-11-06,4,S10_4962,"Stylish Desk Decors, Co.",Medium
10183-1,28,100,3433.36,2003-11-13,4,S10_4962,"Classic Gift Ideas, Inc",Medium
10194-4,26,100,4263.74,2003-11-25,4,S10_4962,"Saveley & Henriot, Co.",Medium
10207-15,31,100,4076.19,2003-12-09,4,S10_4962,Diecast Collectables,Medium
10217-4,48,100,7020.48,2004-02-04,1,S10_4962,Handji Gifts& Co,Large
10229-9,50,100,6426.5,2004-03-11,1,S10_4962,Mini Gifts Distributors Ltd.,Medium
10245-2,28,100,4591.72,2004-05-04,2,S10_4962,Super Scale Inc.,Medium
10259-12,26,100,4033.38,2004-06-15,2,S10_4962,Handji Gifts& Co,Medium
10270-2,32,100,4302.08,2004-07-19,3,S10_4962,Souveniers And Things Co.,Medium
10281-9,44,100,7020.64,2004-08-19,3,S10_4962,Diecast Classics Inc.,Large
10291-4,30,100,3855.9,2004-09-08,3,S10_4962,Scandinavian Gift Ideas,Medium
10305-13,38,100,6680.78,2004-10-13,4,S10_4962,Marta's Replicas Co.,Medium
10313-7,40,100,6678,2004-10-22,4,S10_4962,Canadian Gift Exchange Network,Medium
10322-8,46,61.99,2851.54,2004-11-04,4,S10_4962,Online Diecast Creations Co.,Small
10334-2,26,100,3188.12,2004-11-19,4,S10_4962,"Volvo Model Replicas, Co",Medium
10347-2,27,100,4428,2004-11-29,4,S10_4962,"Australian Collectors, Co.",Medium
10357-9,43,100,5780.92,2004-12-10,4,S10_4962,Mini Gifts Distributors Ltd.,Medium
10370-4,35,65.63,2297.05,2005-01-20,1,S10_4962,"Anna's Decorations, Ltd",Small
10381-6,37,100,6231.54,2005-02-17,1,S10_4962,Corporate Gift Ideas Co.,Medium
10391-7,37,46.9,1735.3,2005-03-09,1,S10_4962,"Anna's Decorations, Ltd",Small
10411-2,27,100,4427.73,2005-05-01,2,S10_4962,Quebec Home Shopping Network,Medium
10425-12,38,100,5894.94,2005-05-31,2,S10_4962,La Rochelle Gifts,Medium
10108-6,33,100,5265.15,2003-03-03,1,S12_1099,Cruz & Sons Co.,Medium
10122-10,42,100,7599.9,2003-05-08,2,S12_1099,Marseille Mini Autos,Large
10135-7,42,100,8008.56,2003-07-02,3,S12_1099,Mini Gifts Distributors Ltd.,Large
10147-7,48,100,9245.76,2003-09-05,3,S12_1099,Collectables For Less Inc.,Large
10159-2,41,100,8296.35,2003-10-10,4,S12_1099,Corporate Gift Ideas Co.,Large
10169-2,30,100,5019.9,2003-11-04,4,S12_1099,"Anna's Decorations, Ltd",Medium
10181-14,27,100,5411.07,2003-11-12,4,S12_1099,Herkku Gifts,Medium
10191-3,21,100,3840.9,2003-11-20,4,S12_1099,"Toms Spezialitten, Ltd",Medium
10203-8,20,100,3930.4,2003-12-02,4,S12_1099,Euro Shopping Channel,Medium
10211-2,41,100,7498.9,2004-01-15,1,S12_1099,Auto Canal Petit,Large
10225-9,27,100,4517.91,2004-02-22,1,S12_1099,"Vida Sport, Ltd",Medium
10238-3,28,100,5774.72,2004-04-09,2,S12_1099,Danish Wholesale Imports,Medium
10253-13,24,100,3922.56,2004-06-01,2,S12_1099,"UK Collectables, Ltd.",Medium
10266-14,44,100,9160.36,2004-07-06,3,S12_1099,L'ordine Souveniers,Large
10276-3,50,100,9631,2004-08-02,3,S12_1099,Online Mini Collectables,Large
10287-12,21,100,3432.24,2004-08-30,3,S12_1099,"Vida Sport, Ltd",Medium
10300-5,33,100,5521.89,2003-10-04,4,S12_1099,"Blauer See Auto, Co.",Medium
10310-10,33,100,6934.62,2004-10-16,4,S12_1099,"Toms Spezialitten, Ltd",Medium
10320-3,31,100,6876.11,2004-11-03,4,S12_1099,"Volvo Model Replicas, Co",Medium
10329-5,41,71.47,2930.27,2004-11-15,4,S12_1099,Land of Toys Inc.,Small
10341-2,45,79.65,3584.25,2004-11-24,4,S12_1099,Salzburg Collectables,Medium
10363-3,33,85.39,2817.87,2005-01-06,1,S12_1099,Suominen Souveniers,Small
10375-7,45,76,3420,2005-02-03,1,S12_1099,La Rochelle Gifts,Medium
10389-4,26,99.04,2575.04,2005-03-03,1,S12_1099,Scandinavian Gift Ideas,Small
10419-13,12,100,1961.28,2005-05-17,2,S12_1099,Salzburg Collectables,Small
10105-15,41,100,8690.36,2003-02-11,1,S12_1108,Danish Wholesale Imports,Large
10117-9,33,100,6034.38,2003-04-16,2,S12_1108,"Dragon Souveniers, Ltd.",Medium
10127-2,46,100,11279.2,2003-06-03,2,S12_1108,Muscle Machine Inc,Large
10142-12,33,100,8023.29,2003-08-08,3,S12_1108,Mini Gifts Distributors Ltd.,Large
10153-11,20,100,4904,2003-09-28,3,S12_1108,Euro Shopping Channel,Medium
10165-3,44,100,8594.52,2003-10-22,4,S12_1108,"Dragon Souveniers, Ltd.",Large
10176-2,33,100,7474.5,2003-11-06,4,S12_1108,L'ordine Souveniers,Large
10185-13,21,100,3883.74,2003-11-14,4,S12_1108,Mini Creations Ltd.,Medium
10196-5,47,100,8887.7,2003-11-26,4,S12_1108,Super Scale Inc.,Large
10208-13,46,100,8602.92,2004-01-02,1,S12_1108,"Saveley & Henriot, Co.",Large
10220-2,32,100,7181.44,2004-02-12,1,S12_1108,"Clover Collections, Co.",Large
10231-2,42,100,8378.58,2004-03-19,1,S12_1108,CAF Imports,Large
10247-2,44,100,10606.2,2004-05-05,2,S12_1108,Suominen Souveniers,Large
10272-2,35,100,5818.4,2004-07-20,3,S12_1108,Diecast Classics Inc.,Medium
10282-5,41,100,7071.27,2004-08-20,3,S12_1108,Mini Gifts Distributors Ltd.,Large
10293-8,46,100,8411.56,2004-09-09,3,S12_1108,Amica Models & Co.,Large
10306-13,31,100,6570.76,2004-10-14,4,S12_1108,"AV Stores, Co.",Medium
10314-5,38,100,7975.44,2004-10-22,4,S12_1108,Heintze Collectables,Large
10325-8,42,64,2688,2004-11-05,4,S12_1108,Baane Mini Imports,Small
10336-10,33,57.22,1888.26,2004-11-20,4,S12_1108,"La Corne D'abondance, Co.",Small
10348-8,48,52.36,2513.28,2004-11-01,4,S12_1108,"Corrida Auto Replicas, Ltd",Small
10359-8,42,100,4764.48,2004-12-15,4,S12_1108,Reims Collectables,Medium
10371-6,32,100,3560.64,2005-01-23,1,S12_1108,Mini Gifts Distributors Ltd.,Medium
10382-10,34,100,3823.64,2005-02-17,1,S12_1108,Mini Gifts Distributors Ltd.,Medium
10395-1,33,69.12,2280.96,2005-03-17,1,S12_1108,Lyon Souveniers,Small
10413-2,36,100,8677.8,2005-05-05,2,S12_1108,Gift Depot Inc.,Large
10103-8,27,100,3394.98,2003-01-29,1,S12_1666,Baane Mini Imports,Medium
10113-2,21,100,3415.44,2003-03-26,1,S12_1666,Mini Gifts Distributors Ltd.,Medium
10126-8,21,100,2439.57,2003-05-28,2,S12_1666,"Corrida Auto Replicas, Ltd",Small
10140-8,38,100,4829.8,2003-07-24,3,S12_1666,Technics Stores Inc.,Medium
10150-5,30,100,4100.1,2003-09-19,3,S12_1666,"Dragon Souveniers, Ltd.",Medium
10164-6,49,100,6563.06,2003-10-21,4,S12_1666,Mini Auto Werke,Medium
10174-1,43,100,6817.22,2003-11-06,4,S12_1666,"Australian Gift Network, Co",Medium
10183-5,41,100,6163.94,2003-11-13,4,S12_1666,"Classic Gift Ideas, Inc",Medium
10194-8,38,100,4933.92,2003-11-25,4,S12_1666,"Saveley & Henriot, Co.",Medium
10206-3,28,100,4056.36,2003-12-05,4,S12_1666,Canadian Gift Exchange Network,Medium
10216-1,43,100,5759.42,2004-02-02,1,S12_1666,Auto Assoc. & Cie.,Medium
10229-13,25,100,3451,2004-03-11,1,S12_1666,Mini Gifts Distributors Ltd.,Medium
10245-6,38,100,5920.4,2004-05-04,2,S12_1666,Super Scale Inc.,Medium
10258-3,41,100,6668.24,2004-06-15,2,S12_1666,"Tokyo Collectables, Ltd",Medium
10270-6,28,100,4094.72,2004-07-19,3,S12_1666,Souveniers And Things Co.,Medium
10281-13,25,100,2938.5,2004-08-19,3,S12_1666,Diecast Classics Inc.,Small
10291-8,41,100,6387.8,2004-09-08,3,S12_1666,Scandinavian Gift Ideas,Medium
10304-3,39,100,6396,2004-10-11,4,S12_1666,Auto Assoc. & Cie.,Medium
10313-11,21,100,2669.1,2004-10-22,4,S12_1666,Canadian Gift Exchange Network,Small
10322-9,27,100,4784.13,2004-11-04,4,S12_1666,Online Diecast Creations Co.,Medium
10333-6,33,99.21,3273.93,2004-11-18,4,S12_1666,Mini Wheels Co.,Medium
10347-3,29,100,3586.43,2004-11-29,4,S12_1666,"Australian Collectors, Co.",Medium
10357-8,49,100,5960.36,2004-12-10,4,S12_1666,Mini Gifts Distributors Ltd.,Medium
10370-8,49,100,8470.14,2005-01-20,1,S12_1666,"Anna's Decorations, Ltd",Large
10381-1,20,100,2952,2005-02-17,1,S12_1666,Corporate Gift Ideas Co.,Small
10391-9,39,63.2,2464.8,2005-03-09,1,S12_1666,"Anna's Decorations, Ltd",Small
10411-6,40,100,6232,2005-05-01,2,S12_1666,Quebec Home Shopping Network,Medium
10424-3,49,100,7969.36,2005-05-31,2,S12_1666,Euro Shopping Channel,Large
10107-1,21,100,3036.6,2003-02-24,1,S12_2823,Land of Toys Inc.,Medium
10121-4,50,100,8284,2003-05-07,2,S12_2823,Reims Collectables,Large
10134-1,20,100,2711.2,2003-07-01,3,S12_2823,Lyon Souveniers,Small
10145-5,49,100,8339.8,2003-08-25,3,S12_2823,Toys4GrownUps.com,Large
10159-13,38,100,6238.84,2003-10-10,4,S12_2823,Corporate Gift Ideas Co.,Medium
10169-13,35,100,4639.25,2003-11-04,4,S12_2823,"Anna's Decorations, Ltd",Medium
10180-8,40,100,6747.6,2003-11-11,4,S12_2823,Daedalus Designs Imports,Medium
10189-1,28,100,4512.48,2003-11-18,4,S12_2823,Toys4GrownUps.com,Medium
10201-1,25,100,4029,2003-12-01,4,S12_2823,Mini Wheels Co.,Medium
10211-13,36,100,4771.8,2004-01-15,1,S12_2823,Auto Canal Petit,Medium
10224-6,43,100,6087.94,2004-02-21,1,S12_2823,Daedalus Designs Imports,Medium
10237-6,32,100,4193.28,2004-04-05,2,S12_2823,Vitachrome Inc.,Medium
10251-1,46,100,7552.28,2004-05-18,2,S12_2823,Tekni Collectables Inc.,Large
10263-1,48,100,6434.4,2004-06-28,2,S12_2823,Gift Depot Inc.,Medium
10276-14,43,100,5181.5,2004-08-02,3,S12_2823,Online Mini Collectables,Medium
10285-5,49,100,6863.92,2004-08-27,3,S12_2823,Marta's Replicas Co.,Medium
10299-8,24,100,4157.04,2004-09-30,3,S12_2823,"Toys of Finland, Co.",Medium
10309-4,26,100,4660.24,2004-10-15,4,S12_2823,Baane Mini Imports,Medium
10319-9,30,100,4111.8,2004-11-03,4,S12_2823,Microscale Inc.,Medium
10329-6,24,100,3542.64,2004-11-15,4,S12_2823,Land of Toys Inc.,Medium
10341-8,55,100,8118.55,2004-11-24,4,S12_2823,Salzburg Collectables,Large
10362-1,22,100,3877.06,2005-01-05,1,S12_2823,Technics Stores Inc.,Medium
10375-13,49,78.92,3867.08,2005-02-03,1,S12_2823,La Rochelle Gifts,Medium
10388-6,44,100,5951.44,2005-03-03,1,S12_2823,FunGiftIdeas.com,Medium
10403-6,66,100,8648.64,2005-04-08,2,S12_2823,"UK Collectables, Ltd.",Large
10417-1,21,100,3447.78,2005-05-13,2,S12_2823,Euro Shopping Channel,Medium
10104-1,34,100,5958.5,2003-01-31,1,S12_3148,Euro Shopping Channel,Medium
10117-10,43,100,5911.64,2003-04-16,2,S12_3148,"Dragon Souveniers, Ltd.",Medium
10127-3,46,100,7366.44,2003-06-03,2,S12_3148,Muscle Machine Inc,Large
10142-13,33,100,4985.64,2003-08-08,3,S12_3148,Mini Gifts Distributors Ltd.,Medium
10153-12,42,100,5393.64,2003-09-28,3,S12_3148,Euro Shopping Channel,Medium
10165-4,34,100,4880.02,2003-10-22,4,S12_3148,"Dragon Souveniers, Ltd.",Medium
10176-3,47,100,8378.69,2003-11-06,4,S12_3148,L'ordine Souveniers,Large
10185-14,33,100,4038.21,2003-11-14,4,S12_3148,Mini Creations Ltd.,Medium
10196-6,24,100,3807.12,2003-11-26,4,S12_3148,Super Scale Inc.,Medium
10208-14,26,100,3142.36,2004-01-02,1,S12_3148,"Saveley & Henriot, Co.",Medium
10220-3,30,100,4713.6,2004-02-12,1,S12_3148,"Clover Collections, Co.",Medium
10230-1,43,100,7016.31,2004-03-15,1,S12_3148,"Blauer See Auto, Co.",Large
10247-3,25,100,4381.25,2004-05-05,2,S12_3148,Suominen Souveniers,Medium
10272-3,27,100,4283.01,2004-07-20,3,S12_3148,Diecast Classics Inc.,Medium
10282-6,27,100,4364.82,2004-08-20,3,S12_3148,Mini Gifts Distributors Ltd.,Medium
10293-9,24,100,4242.24,2004-09-09,3,S12_3148,Amica Models & Co.,Medium
10306-14,34,100,4982.7,2004-10-14,4,S12_3148,"AV Stores, Co.",Medium
10314-6,46,100,6393.54,2004-10-22,4,S12_3148,Heintze Collectables,Medium
10324-1,27,54.33,1466.91,2004-11-05,4,S12_3148,Vitachrome Inc.,Small
10336-11,33,100,4059.33,2004-11-20,4,S12_3148,"La Corne D'abondance, Co.",Medium
10348-4,47,100,4801.52,2004-11-01,4,S12_3148,"Corrida Auto Replicas, Ltd",Medium
10358-5,49,55.34,2711.66,2004-12-10,4,S12_3148,Euro Shopping Channel,Small
10372-4,40,100,5862,2005-01-26,1,S12_3148,"Tokyo Collectables, Ltd",Medium
10382-11,37,100,4071.85,2005-02-17,1,S12_3148,Mini Gifts Distributors Ltd.,Medium
10413-3,47,100,8236.75,2005-05-05,2,S12_3148,Gift Depot Inc.,Large
10108-4,45,100,6130.35,2003-03-03,1,S12_3380,Cruz & Sons Co.,Medium
10122-8,37,99.82,3693.34,2003-05-08,2,S12_3380,Marseille Mini Autos,Medium
10135-5,48,100,6031.68,2003-07-02,3,S12_3380,Mini Gifts Distributors Ltd.,Medium
10147-5,31,100,3494.94,2003-09-05,3,S12_3380,Collectables For Less Inc.,Medium
10160-6,46,100,5294.14,2003-10-11,4,S12_3380,"Men 'R' US Retailers, Ltd.",Medium
10170-4,47,100,5464.69,2003-11-04,4,S12_3380,Mini Auto Werke,Medium
10181-12,28,100,2860.76,2003-11-12,4,S12_3380,Herkku Gifts,Small
10191-1,40,100,5590,2003-11-20,4,S12_3380,"Toms Spezialitten, Ltd",Medium
10203-6,20,100,2254.8,2003-12-02,4,S12_3380,Euro Shopping Channel,Small
10212-16,39,100,4946.76,2004-01-16,1,S12_3380,Euro Shopping Channel,Medium
10225-7,25,99.82,2495.5,2004-02-22,1,S12_3380,"Vida Sport, Ltd",Small
10238-1,29,100,3167.38,2004-04-09,2,S12_3380,Danish Wholesale Imports,Medium
10253-11,22,100,2402.84,2004-06-01,2,S12_3380,"UK Collectables, Ltd.",Small
10266-12,22,100,2454.54,2004-07-06,3,S12_3380,L'ordine Souveniers,Small
10276-1,47,100,5464.69,2004-08-02,3,S12_3380,Online Mini Collectables,Medium
10287-10,45,100,4756.5,2004-08-30,3,S12_3380,"Vida Sport, Ltd",Medium
